username,repo_name,repo_url,stars
mrdoob,three.js,https://github.com/mrdoob/three.js,75300
libgdx,libgdx,https://github.com/libgdx/libgdx,19200
pmndrs,react-three-fiber,https://github.com/pmndrs/react-three-fiber,15500
BabylonJS,Babylon.js,https://github.com/BabylonJS/Babylon.js,15200
aframevr,aframe,https://github.com/aframevr/aframe,13200
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,11500
lettier,3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners,11400
FreeCAD,FreeCAD,https://github.com/FreeCAD/FreeCAD,10100
metafizzy,zdog,https://github.com/metafizzy/zdog,8800
CesiumGS,cesium,https://github.com/CesiumGS/cesium,7600
timzhang642,3D-Machine-Learning,https://github.com/timzhang642/3D-Machine-Learning,7200
a1studmuffin,SpaceshipGenerator,https://github.com/a1studmuffin/SpaceshipGenerator,6900
isl-org,Open3D,https://github.com/isl-org/Open3D,5600
spritejs,spritejs,https://github.com/spritejs/spritejs,4700
tensorspace-team,tensorspace,https://github.com/tensorspace-team/tensorspace,4500
domlysz,BlenderGIS,https://github.com/domlysz/BlenderGIS,4500
jagenjo,webglstudio.js,https://github.com/jagenjo/webglstudio.js,4500
YadiraF,PRNet,https://github.com/YadiraF/PRNet,4400
AaronJackson,vrn,https://github.com/AaronJackson/vrn,4400
openscad,openscad,https://github.com/openscad/openscad,4400
ssloy,tinyraytracer,https://github.com/ssloy/tinyraytracer,3900
mosra,magnum,https://github.com/mosra/magnum,3700
blender,blender,https://github.com/blender/blender,3700
google,model-viewer,https://github.com/google/model-viewer,3500
gfxfundamentals,webgl-fundamentals,https://github.com/gfxfundamentals/webgl-fundamentals,3200
cleardusk,3DDFA,https://github.com/cleardusk/3DDFA,3100
jasonlong,isometric-contributions,https://github.com/jasonlong/isometric-contributions,3100
rg3dengine,rg3d,https://github.com/rg3dengine/rg3d,2900
cnr-isti-vclab,meshlab,https://github.com/cnr-isti-vclab/meshlab,2500
antvis,L7,https://github.com/antvis/L7,2500
