username,repo_name,repo_url,stars
jwasham,coding-interview-university,https://github.com/jwasham/coding-interview-university,196000
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,141000
trekhleb,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,126000
TheAlgorithms,Python,https://github.com/TheAlgorithms/Python,122000
yangshun,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,60600
kdn251,interviews,https://github.com/kdn251/interviews,54400
azl397985856,leetcode,https://github.com/azl397985856/leetcode,44900
TheAlgorithms,Java,https://github.com/TheAlgorithms/Java,42000
algorithm-visualizer,algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,35700
crossoverJie,JCSprout,https://github.com/crossoverJie/JCSprout,26500
donnemartin,interactive-coding-challenges,https://github.com/donnemartin/interactive-coding-challenges,24000
halfrost,LeetCode-Go,https://github.com/halfrost/LeetCode-Go,21100
huihut,interview,https://github.com/huihut/interview,21100
keon,algorithms,https://github.com/keon/algorithms,19900
trekhleb,homemade-machine-learning,https://github.com/trekhleb/homemade-machine-learning,18500
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,17800
mxgmn,WaveFunctionCollapse,https://github.com/mxgmn/WaveFunctionCollapse,16900
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,16400
TheAlgorithms,Javascript,https://github.com/TheAlgorithms/Javascript,15700
AtsushiSakai,PythonRobotics,https://github.com/AtsushiSakai/PythonRobotics,13500
OpenGenus,cosmos,https://github.com/OpenGenus/cosmos,12900
greyireland,algorithm-pattern,https://github.com/greyireland/algorithm-pattern,12800
williamfiset,Algorithms,https://github.com/williamfiset/Algorithms,11200
apachecn,apachecn-algo-zh,https://github.com/apachecn/apachecn-algo-zh,10500
halfrost,Halfrost-Field,https://github.com/halfrost/Halfrost-Field,9600
lnishan,awesome-competitive-programming,https://github.com/lnishan/awesome-competitive-programming,9000
Blankj,awesome-java-leetcode,https://github.com/Blankj/awesome-java-leetcode,8300
jeffgerickson,algorithms,https://github.com/jeffgerickson/algorithms,7400
LeetCode-OpenSource,vscode-leetcode,https://github.com/LeetCode-OpenSource/vscode-leetcode,6900
mgechev,javascript-algorithms,https://github.com/mgechev/javascript-algorithms,6900
