username,repo_name,repo_url,stars
flutter,flutter,https://github.com/flutter/flutter,132000
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,83800
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,56500
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,47500
google,material-design-icons,https://github.com/google/material-design-icons,44200
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,41600
square,okhttp,https://github.com/square/okhttp,41100
android,architecture-samples,https://github.com/android/architecture-samples,39700
square,retrofit,https://github.com/square/retrofit,39000
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,38000
PhilJay,MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,34200
fastlane,fastlane,https://github.com/fastlane/fastlane,33200
shadowsocks,shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android,32000
airbnb,lottie-android,https://github.com/airbnb/lottie-android,32000
bumptech,glide,https://github.com/bumptech/glide,31900
Trinea,android-open-project,https://github.com/Trinea/android-open-project,30800
Blankj,AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,30000
xitu,gold-miner,https://github.com/xitu/gold-miner,29700
bilibili,ijkplayer,https://github.com/bilibili/ijkplayer,29600
zxing,zxing,https://github.com/zxing/zxing,28600
codepath,android_guides,https://github.com/codepath/android_guides,27600
skylot,jadx,https://github.com/skylot/jadx,27600
square,leakcanary,https://github.com/square/leakcanary,26900
laurent22,joplin,https://github.com/laurent22/joplin,26100
alibaba,fastjson,https://github.com/alibaba/fastjson,23900
scwang90,SmartRefreshLayout,https://github.com/scwang90/SmartRefreshLayout,23100
CymChad,BaseRecyclerViewAdapterHelper,https://github.com/CymChad/BaseRecyclerViewAdapterHelper,22400
react-native-elements,react-native-elements,https://github.com/react-native-elements/react-native-elements,21500
google,iosched,https://github.com/google/iosched,20900
NativeScript,NativeScript,https://github.com/NativeScript/NativeScript,20600
