username,repo_name,repo_url,stars
ansible,ansible,https://github.com/ansible/ansible,50500
trailofbits,algo,https://github.com/trailofbits/algo,23900
StreisandEffect,streisand,https://github.com/StreisandEffect/streisand,22600
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,17800
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,11400
ansible,awx,https://github.com/ansible/awx,10300
easzlab,kubeasz,https://github.com/easzlab/kubeasz,7500
geerlingguy,ansible-for-devops,https://github.com/geerlingguy/ansible-for-devops,5100
ansible-semaphore,semaphore,https://github.com/ansible-semaphore/semaphore,4500
rundeck,rundeck,https://github.com/rundeck/rundeck,4400
geerlingguy,mac-dev-playbook,https://github.com/geerlingguy/mac-dev-playbook,4100
KubeOperator,KubeOperator,https://github.com/KubeOperator/KubeOperator,4100
Tikam02,DevOps-Guide,https://github.com/Tikam02/DevOps-Guide,4000
ansible-community,molecule,https://github.com/ansible-community/molecule,3200
clong,DetectionLab,https://github.com/clong/DetectionLab,3100
opendevops-cn,opendevops,https://github.com/opendevops-cn/opendevops,2900
welliamcao,OpsManage,https://github.com/welliamcao/OpsManage,2800
werf,werf,https://github.com/werf/werf,2700
netbootxyz,netboot.xyz,https://github.com/netbootxyz/netboot.xyz,2700
ansible-community,ansible-lint,https://github.com/ansible-community/ansible-lint,2600
dev-sec,ansible-collection-hardening,https://github.com/dev-sec/ansible-collection-hardening,2500
alixaxel,chrome-aws-lambda,https://github.com/alixaxel/chrome-aws-lambda,2400
roots,trellis,https://github.com/roots/trellis,2300
litmuschaos,litmus,https://github.com/litmuschaos/litmus,2300
ansistrano,deploy,https://github.com/ansistrano/deploy,2100
openshift,openshift-ansible,https://github.com/openshift/openshift-ansible,2000
fboender,ansible-cmdb,https://github.com/fboender/ansible-cmdb,2000
pytest-dev,pytest-testinfra,https://github.com/pytest-dev/pytest-testinfra,2000
leucos,ansible-tuto,https://github.com/leucos/ansible-tuto,1900
Artemmkin,infrastructure-as-code-tutorial,https://github.com/Artemmkin/infrastructure-as-code-tutorial,1900
