username,repo_name,repo_url,stars
arendst,Tasmota,https://github.com/arendst/Tasmota,16400
rwaldron,johnny-five,https://github.com/rwaldron/johnny-five,12400
arduino,Arduino,https://github.com/arduino/Arduino,12200
MarlinFirmware,Marlin,https://github.com/MarlinFirmware/Marlin,12000
SpacehuhnTech,esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,9100
tinygo-org,tinygo,https://github.com/tinygo-org/tinygo,8800
espressif,arduino-esp32,https://github.com/espressif/arduino-esp32,7500
hybridgroup,gobot,https://github.com/hybridgroup/gobot,7400
gurugio,lowlevelprogramming-university,https://github.com/gurugio/lowlevelprogramming-university,7100
platformio,platformio-core,https://github.com/platformio/platformio-core,5400
bblanchon,ArduinoJson,https://github.com/bblanchon/ArduinoJson,5400
tzapu,WiFiManager,https://github.com/tzapu/WiFiManager,4800
hybridgroup,cylon,https://github.com/hybridgroup/cylon,3800
Arduino-IRremote,Arduino-IRremote,https://github.com/Arduino-IRremote/Arduino-IRremote,3400
blynkkk,blynk-library,https://github.com/blynkkk/blynk-library,3300
arduino,arduino-cli,https://github.com/arduino/arduino-cli,3100
NectarJS,nectarjs,https://github.com/NectarJS/nectarjs,3100
olikraus,u8g2,https://github.com/olikraus/u8g2,2600
gioblu,PJON,https://github.com/gioblu/PJON,2600
1technophile,OpenMQTTGateway,https://github.com/1technophile/OpenMQTTGateway,2400
scottlawsonbc,audio-reactive-led-strip,https://github.com/scottlawsonbc/audio-reactive-led-strip,2200
isl-org,OpenBot,https://github.com/isl-org/OpenBot,2000
crankyoldgit,IRremoteESP8266,https://github.com/crankyoldgit/IRremoteESP8266,1900
Serial-Studio,Serial-Studio,https://github.com/Serial-Studio/Serial-Studio,1900
scottbez1,splitflap,https://github.com/scottbez1/splitflap,1900
nRF24,RF24,https://github.com/nRF24/RF24,1800
stm32duino,Arduino_Core_STM32,https://github.com/stm32duino/Arduino_Core_STM32,1700
ThingPulse,esp8266-oled-ssd1306,https://github.com/ThingPulse/esp8266-oled-ssd1306,1600
blinker-iot,blinker-library,https://github.com/blinker-iot/blinker-library,1600
Bodmer,TFT_eSPI,https://github.com/Bodmer/TFT_eSPI,1500
