username,repo_name,repo_url,stars
atom,atom,https://github.com/atom/atom,56300
themerdev,themer,https://github.com/themerdev/themer,4400
nteract,hydrogen,https://github.com/nteract/hydrogen,3700
shd101wyy,markdown-preview-enhanced,https://github.com/shd101wyy/markdown-preview-enhanced,3400
miniflux,v2,https://github.com/miniflux/v2,3200
atom,teletype,https://github.com/atom/teletype,2300
mehcode,awesome-atom,https://github.com/mehcode/awesome-atom,1900
mmcdole,gofeed,https://github.com/mmcdole/gofeed,1700
joefitzgerald,go-plus,https://github.com/joefitzgerald/go-plus,1500
Glavin001,atom-beautify,https://github.com/Glavin001/atom-beautify,1500
simplepie,simplepie,https://github.com/simplepie/simplepie,1400
t9md,atom-vim-mode-plus,https://github.com/t9md/atom-vim-mode-plus,1400
ocaml,merlin,https://github.com/ocaml/merlin,1400
kurtmckee,feedparser,https://github.com/kurtmckee/feedparser,1300
MagicStack,MagicPython,https://github.com/MagicStack/MagicPython,1300
atom,apm,https://github.com/atom/apm,1200
file-icons,atom,https://github.com/file-icons/atom,1200
kettanaito,atomic-layout,https://github.com/kettanaito/atomic-layout,1000
atom,github,https://github.com/atom/github,971
nmdias,FeedKit,https://github.com/nmdias/FeedKit,936
danhper,atomic-chrome,https://github.com/danhper/atomic-chrome,929
nathanbuchar,atom-one-dark-terminal,https://github.com/nathanbuchar/atom-one-dark-terminal,925
jesseweed,seti-ui,https://github.com/jesseweed/seti-ui,878
fwcd,kotlin-language-server,https://github.com/fwcd/kotlin-language-server,797
prettier,prettier-atom,https://github.com/prettier/prettier-atom,764
raphamorim,lucario,https://github.com/raphamorim/lucario,728
atom-community,atom-script,https://github.com/atom-community/atom-script,726
jasonmunro,cypht,https://github.com/jasonmunro/cypht,676
jekyll,jekyll-feed,https://github.com/jekyll/jekyll-feed,666
lwindolf,liferea,https://github.com/lwindolf/liferea,658
