username,repo_name,repo_url,stars
bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,58400
ccxt,ccxt,https://github.com/ccxt/ccxt,21700
HelloZeroNet,ZeroNet,https://github.com/HelloZeroNet/ZeroNet,17100
freqtrade,freqtrade,https://github.com/freqtrade/freqtrade,12900
askmike,gekko,https://github.com/askmike/gekko,9800
bbfamily,abu,https://github.com/bbfamily/abu,8400
lbryio,lbry-sdk,https://github.com/lbryio/lbry-sdk,7200
dvf,blockchain,https://github.com/dvf/blockchain,6400
yeasy,blockchain_guide,https://github.com/yeasy/blockchain_guide,5800
lightningnetwork,lnd,https://github.com/lightningnetwork/lnd,5500
butor,blackbird,https://github.com/butor/blackbird,5400
spesmilo,electrum,https://github.com/spesmilo/electrum,5200
solana-labs,solana,https://github.com/solana-labs/solana,4900
btcsuite,btcd,https://github.com/btcsuite/btcd,4500
bitcoinjs,bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib,4400
bitcoinj,bitcoinj,https://github.com/bitcoinj/bitcoinj,4100
bisq-network,bisq,https://github.com/bisq-network/bisq,3700
michaelgrosner,tribeca,https://github.com/michaelgrosner/tribeca,3600
CryptoSignal,Crypto-Signal,https://github.com/CryptoSignal/Crypto-Signal,3500
Scanate,EthList,https://github.com/Scanate/EthList,3500
RomelTorres,alpha_vantage,https://github.com/RomelTorres/alpha_vantage,3500
Zheaoli,awesome-coins,https://github.com/Zheaoli/awesome-coins,3400
coinpride,CryptoList,https://github.com/coinpride/CryptoList,3400
bitpay,wallet,https://github.com/bitpay/wallet,3300
SqueezerIO,squeezer,https://github.com/SqueezerIO/squeezer,3200
jesse-ai,jesse,https://github.com/jesse-ai/jesse,3200
Jeiwan,blockchain_go,https://github.com/Jeiwan/blockchain_go,3100
btcpayserver,btcpayserver,https://github.com/btcpayserver/btcpayserver,3100
lbryio,lbrycrd,https://github.com/lbryio/lbrycrd,2800
cointop-sh,cointop,https://github.com/cointop-sh/cointop,2700
