username,repo_name,repo_url,stars
ccxt,ccxt,https://github.com/ccxt/ccxt,21700
python-telegram-bot,python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,16800
discordjs,discord.js,https://github.com/discordjs/discord.js,16000
hubotio,hubot,https://github.com/hubotio/hubot,16000
timgrossmann,InstaPy,https://github.com/timgrossmann/InstaPy,13400
RasaHQ,rasa,https://github.com/RasaHQ/rasa,12900
gunthercox,ChatterBot,https://github.com/gunthercox/ChatterBot,11700
howdyai,botkit,https://github.com/howdyai/botkit,10500
botpress,botpress,https://github.com/botpress/botpress,9400
sfyc23,EverydayWechat,https://github.com/sfyc23/EverydayWechat,8600
leon-ai,leon,https://github.com/leon-ai/leon,8000
tgbot-collection,YYeTsBot,https://github.com/tgbot-collection/YYeTsBot,7900
EZFNDEV,EZFN-Lobbybot,https://github.com/EZFNDEV/EZFN-Lobbybot,6900
microsoft,ailab,https://github.com/microsoft/ailab,6800
microsoft,botframework-sdk,https://github.com/microsoft/botframework-sdk,6600
maxbbraun,trump2cash,https://github.com/maxbbraun/trump2cash,6000
yagop,node-telegram-bot-api,https://github.com/yagop/node-telegram-bot-api,5700
botman,botman,https://github.com/botman/botman,5500
deepmipt,DeepPavlov,https://github.com/deepmipt/DeepPavlov,5500
telegraf,telegraf,https://github.com/telegraf/telegraf,5000
axa-group,nlp.js,https://github.com/axa-group/nlp.js,4600
jef,streetmerchant,https://github.com/jef/streetmerchant,4500
ohld,igbot,https://github.com/ohld/igbot,4100
pedroslopez,whatsapp-web.js,https://github.com/pedroslopez/whatsapp-web.js,3800
Yoctol,bottender,https://github.com/Yoctol/bottender,3800
PokemonGoF,PokemonGo-Bot,https://github.com/PokemonGoF/PokemonGo-Bot,3700
snipsco,snips-nlu,https://github.com/snipsco/snips-nlu,3600
goq,telegram-list,https://github.com/goq/telegram-list,3300
orkestral,venom,https://github.com/orkestral/venom,3300
jesse-ai,jesse,https://github.com/jesse-ai/jesse,3200
