username,repo_name,repo_url,stars
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,141000
practical-tutorials,project-based-learning,https://github.com/practical-tutorials/project-based-learning,58700
azl397985856,leetcode,https://github.com/azl397985856/leetcode,44900
x64dbg,x64dbg,https://github.com/x64dbg/x64dbg,37600
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,34500
microsoft,calculator,https://github.com/microsoft/calculator,23000
CMU-Perceptual-Computing-Lab,openpose,https://github.com/CMU-Perceptual-Computing-Lab/openpose,22400
huihut,interview,https://github.com/huihut/interview,21100
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,17800
yuzu-emu,yuzu,https://github.com/yuzu-emu/yuzu,16700
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,16400
changkun,modern-cpp-tutorial,https://github.com/changkun/modern-cpp-tutorial,15400
catchorg,Catch2,https://github.com/catchorg/Catch2,14200
microsoft,vcpkg,https://github.com/microsoft/vcpkg,14000
gabime,spdlog,https://github.com/gabime/spdlog,12900
AnthonyCalandra,modern-cpp-features,https://github.com/AnthonyCalandra/modern-cpp-features,12900
ethereum,solidity,https://github.com/ethereum/solidity,12800
facebook,infer,https://github.com/facebook/infer,12700
Qv2ray,Qv2ray,https://github.com/Qv2ray/Qv2ray,12600
CoatiSoftware,Sourcetrail,https://github.com/CoatiSoftware/Sourcetrail,12100
google,tink,https://github.com/google/tink,11700
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,11500
antlr,antlr4,https://github.com/antlr/antlr4,10900
SFTtech,openage,https://github.com/SFTtech/openage,10600
kyleneideck,BackgroundMusic,https://github.com/kyleneideck/BackgroundMusic,10400
OpenRCT2,OpenRCT2,https://github.com/OpenRCT2/OpenRCT2,10000
compiler-explorer,compiler-explorer,https://github.com/compiler-explorer/compiler-explorer,9600
hmemcpy,milewski-ctfp-pdf,https://github.com/hmemcpy/milewski-ctfp-pdf,8900
Ciphey,Ciphey,https://github.com/Ciphey/Ciphey,8800
codota,TabNine,https://github.com/codota/TabNine,8700
