username,repo_name,repo_url,stars
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,56500
neovim,neovim,https://github.com/neovim/neovim,48100
git,git,https://github.com/git/git,39900
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,34500
obsproject,obs-studio,https://github.com/obsproject/obs-studio,31900
serhii-londar,open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,28500
FFmpeg,FFmpeg,https://github.com/FFmpeg/FFmpeg,26700
vim,vim,https://github.com/vim/vim,25000
ggreer,the_silver_searcher,https://github.com/ggreer/the_silver_searcher,22800
curl,curl,https://github.com/curl/curl,22400
huihut,interview,https://github.com/huihut/interview,21100
ruby,ruby,https://github.com/ruby/ruby,18600
google,flatbuffers,https://github.com/google/flatbuffers,17000
mpv-player,mpv,https://github.com/mpv-player/mpv,16600
pbatard,rufus,https://github.com/pbatard/rufus,16500
oracle,graal,https://github.com/oracle/graal,16100
radareorg,radare2,https://github.com/radareorg/radare2,15200
shadowsocks,shadowsocks-libev,https://github.com/shadowsocks/shadowsocks-libev,14600
microsoft,vcpkg,https://github.com/microsoft/vcpkg,14000
allinurl,goaccess,https://github.com/allinurl/goaccess,13900
vurtun,nuklear,https://github.com/vurtun/nuklear,13300
facebook,infer,https://github.com/facebook/infer,12700
jarun,nnn,https://github.com/jarun/nnn,12700
kovidgoyal,kitty,https://github.com/kovidgoyal/kitty,12500
CoatiSoftware,Sourcetrail,https://github.com/CoatiSoftware/Sourcetrail,12100
TheAlgorithms,C,https://github.com/TheAlgorithms/C,11300
s-matyukevich,raspberry-pi-os,https://github.com/s-matyukevich/raspberry-pi-os,10900
qmk,qmk_firmware,https://github.com/qmk/qmk_firmware,10800
hashcat,hashcat,https://github.com/hashcat/hashcat,10700
jonas,tig,https://github.com/jonas/tig,10400
