username,repo_name,repo_url,stars
electron,electron,https://github.com/electron/electron,98700
FiloSottile,mkcert,https://github.com/FiloSottile/mkcert,32400
microsoft,playwright,https://github.com/microsoft/playwright,30100
ovity,octotree,https://github.com/ovity/octotree,21600
iamadamdev,bypass-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome,19800
segmentio,nightmare,https://github.com/segmentio/nightmare,19000
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,17100
checkly,headless-recorder,https://github.com/checkly/headless-recorder,13700
prisma-archive,chromeless,https://github.com/prisma-archive/chromeless,13200
google,WebFundamentals,https://github.com/google/WebFundamentals,12300
casesandberg,react-color,https://github.com/casesandberg/react-color,10200
GoogleChrome,chrome-extensions-samples,https://github.com/GoogleChrome/chrome-extensions-samples,9000
crimx,ext-saladict,https://github.com/crimx/ext-saladict,8200
uBlock-LLC,uBlock,https://github.com/uBlock-LLC/uBlock,8100
chromedp,chromedp,https://github.com/chromedp/chromedp,6900
alvarcarto,url-to-pdf-api,https://github.com/alvarcarto/url-to-pdf-api,6500
kangvcar,InfoSpider,https://github.com/kangvcar/InfoSpider,5900
MetaMask,metamask-extension,https://github.com/MetaMask/metamask-extension,5900
Kenshin,simpread,https://github.com/Kenshin/simpread,5100
yujiosaka,headless-chrome-crawler,https://github.com/yujiosaka/headless-chrome-crawler,5100
MontFerret,ferret,https://github.com/MontFerret/ferret,4700
firefox-devtools,debugger,https://github.com/firefox-devtools/debugger,4600
themerdev,themer,https://github.com/themerdev/themer,4400
burtonator,polar-bookshelf,https://github.com/burtonator/polar-bookshelf,4400
nieweidong,fetool,https://github.com/nieweidong/fetool,4300
gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile,4200
moonD4rk,HackBrowserData,https://github.com/moonD4rk/HackBrowserData,3700
brookhong,Surfingkeys,https://github.com/brookhong/Surfingkeys,3700
bilibili-helper,bilibili-helper-o,https://github.com/bilibili-helper/bilibili-helper-o,3700
melonjs,melonJS,https://github.com/melonjs/melonJS,3600
