username,repo_name,repo_url,stars
ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,136000
httpie,httpie,https://github.com/httpie/httpie,52600
junegunn,fzf,https://github.com/junegunn/fzf,40000
sharkdp,bat,https://github.com/sharkdp/bat,30100
wagoodman,dive,https://github.com/wagoodman/dive,28200
BurntSushi,ripgrep,https://github.com/BurntSushi/ripgrep,27800
sherlock-project,sherlock,https://github.com/sherlock-project/sherlock,27600
chubin,cheat.sh,https://github.com/chubin/cheat.sh,27500
cli,cli,https://github.com/cli/cli,26100
angular,angular-cli,https://github.com/angular/angular-cli,25000
spf13,cobra,https://github.com/spf13/cobra,23700
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,22400
jesseduffield,lazygit,https://github.com/jesseduffield/lazygit,21800
google,python-fire,https://github.com/google/python-fire,20400
tqdm,tqdm,https://github.com/tqdm/tqdm,19900
avajs,ava,https://github.com/avajs/ava,19400
sharkdp,fd,https://github.com/sharkdp/fd,19300
vercel,pkg,https://github.com/vercel/pkg,19100
n8n-io,n8n,https://github.com/n8n-io/n8n,18300
chalk,chalk,https://github.com/chalk/chalk,17300
vadimdemedes,ink,https://github.com/vadimdemedes/ink,17000
ibraheemdev,modern-unix,https://github.com/ibraheemdev/modern-unix,16900
svg,svgo,https://github.com/svg/svgo,16900
urfave,cli,https://github.com/urfave/cli,16800
gpakosz,.tmux,https://github.com/gpakosz/.tmux,15300
allinurl,goaccess,https://github.com/allinurl/goaccess,13900
FormidableLabs,webpack-dashboard,https://github.com/FormidableLabs/webpack-dashboard,13800
infinitered,ignite,https://github.com/infinitered/ignite,13200
jarun,nnn,https://github.com/jarun/nnn,12700
pomber,git-history,https://github.com/pomber/git-history,12700
