username,repo_name,repo_url,stars
vercel,next.js,https://github.com/vercel/next.js,75900
rust-lang,rust,https://github.com/rust-lang/rust,59900
webpack,webpack,https://github.com/webpack/webpack,59700
sveltejs,svelte,https://github.com/sveltejs/svelte,51800
gatsbyjs,gatsby,https://github.com/gatsbyjs/gatsby,51600
babel,babel,https://github.com/babel/babel,39900
parcel-bundler,parcel,https://github.com/parcel-bundler/parcel,39400
JetBrains,kotlin,https://github.com/JetBrains/kotlin,39100
evanw,esbuild,https://github.com/evanw/esbuild,28500
markedjs,marked,https://github.com/markedjs/marked,26200
vlang,v,https://github.com/vlang/v,25800
vercel,pkg,https://github.com/vercel/pkg,19100
v8,v8,https://github.com/v8/v8,18500
swc-project,swc,https://github.com/swc-project/swc,16700
AssemblyScript,assemblyscript,https://github.com/AssemblyScript/assemblyscript,12900
Konloch,bytecode-viewer,https://github.com/Konloch/bytecode-viewer,12500
nim-lang,Nim,https://github.com/nim-lang/Nim,12100
ziglang,zig,https://github.com/ziglang/zig,10900
gopherjs,gopherjs,https://github.com/gopherjs/gopherjs,10600
compiler-explorer,compiler-explorer,https://github.com/compiler-explorer/compiler-explorer,9600
RustPython,RustPython,https://github.com/RustPython/RustPython,9500
apache,tvm,https://github.com/apache/tvm,7300
JetBrains,kotlin-native,https://github.com/JetBrains/kotlin-native,7100
numba,numba,https://github.com/numba/numba,7000
elm,compiler,https://github.com/elm/compiler,6600
aalhour,awesome-compilers,https://github.com/aalhour/awesome-compilers,6300
Nuitka,Nuitka,https://github.com/Nuitka/Nuitka,5900
DoctorWkt,acwj,https://github.com/DoctorWkt/acwj,5700
rescript-lang,rescript-compiler,https://github.com/rescript-lang/rescript-compiler,5600
lebab,lebab,https://github.com/lebab/lebab,5500
